Information about yourself,Current Karya Involvment (as applicable),Family Information
First name *,Current Vibhag Jimmedari *,Spouse's Name
Middle name *,Current Jimmedari (Year since) *,Spouse's Profession
Last name *,Current Jimmedar for Zone *,Spouse Involved in Swadhyay since (Year)
Gender *,Bhavferi (Year since),Spouse's Current Vibhag Jimmedari (if applicable)
Home Address *,Vrati Bhaktiferi (Year since),Child 1's Name
City *,MGD Bhaktiferi (Year since),Child 2's Name
State/Province *,International Bhaktiferi,Child 3's Name
PostCode *,Ekadashi (Year since),Child 4's Name
Email *,BSK Sanchalak/Observer (Year since) - select only if current,
Phone Number *,Vidya Prem Vardhan Pariksha - last passed ,
Profession *,Graduated from Tattvagyan Vidyapeeth (Graduation Year),
Birth Year *,,
Involved in Swadhyay since (Year) *,,
